chain_id,chain_name,subchain_id,subchain_name
7290700100008,כל בו חצי חינם,1,1
7290526500006,Dabach,1,1
7290058134977,"שפע  ברכת השם בע""מ",1,1
7290058148776,"שוק העיר (ט.ע.מ.ס.) בע""מ",1,1
7290055700007,מגה בעיר,1,1
7290058197699,"גוד פארם בע""מ",1,1
7290058140886,רמי לוי שיווק השקמה,1,1
7290644700005,"פז חברת הנפט בע""מ",1,1
7290172900007,,100,
7290058140886,"רשת חנויות רמי לוי שיווק השקמה 2006 בע""מ",1,1
7290055700014,מגה מרקט,1,1
7290058159628,"ג.מ. מעיין אלפיים (07) בע""מ",1,1
7290058160839,"נתיב החסד- סופר חסד בע""מ",2,בר-כל
7290058160839,"נתיב החסד- סופר חסד בע""מ",6,נתיב
7290058160839,"נתיב החסד- סופר חסד בע""מ",9,שירה מרקט
7290058198450,"פז חברת נפט בע""מ",1,1
7291056200008,רמי לוי בשכונה,1,1
7290876100000,פרש מרקט,1,1
7290058108879,"אלמשהדאוי קינג סטור בע""מ",1,1
7290455000004,,1,
7290027600007,שופרסל,1,שופרסל שלי
7290027600007,שופרסל,2,שופרסל דיל
7290027600007,שופרסל,3,
7290027600007,שופרסל,4,שופרסל דיל אקסטרא
7290027600007,שופרסל,5,Be
7290027600007,שופרסל,6,יש חסד
7290027600007,שופרסל,7,שופרסל אקספרס
7290027600007,שופרסל,8,גרין מרקט
7290027600007,שופרסל,18,
7290027600007,שופרסל,50,יש בשכונה
7290103152017,אושר עד,1,1
7290492000005,Dor Alon,0,0
7290492000005,Dor Alon,1,AM:PM
7290492000005,Dor Alon,2,אלונית מיני סופר
7290873255550,טיב טעם,1,1
7290725900003,יינות ביתן,1,1
7290803800003,מ. יוחננוף ובניו,1,1
7290696200003,ויקטורי,1,ויקטורי
7290875100001,,1,
7290058173198,"זול ובגדול בע""מ",1,1
72906390,סטופמרקט,1,1
7290661400001,מחסני השוק,1,מחסני השוק
7290661400001,מחסני השוק,3,מחסני השוק בשבילך
7290661400001,מחסני השוק,4,מחסני השוק מהדרין
7290785400000,קשת טעמים,1,1
7291059100008,פוליצר,1,1
