code,internal_code,name,manufacturer_name,manufacture_country,manufacturer_item_description,unit_qty,quantity,unit_of_measure,weighted,qty_in_package,price,unit_of_measure_price,allow_discount,status,item_id
374,true,פטריות שמפניון יחידה,חקלאי,IL,פטריות שמפניון יחידה,גרמים,250.00,100 גרם,false,1,0.00,0.0000,true,1,434359
8708,true,אספרסו עובדים La Far,לה פרינה,IL,אספרסו עובדים La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,4.00,0.0000,true,1,350691
8719,true,קפוצינו עובדים La Fa,לה פרינה,IL,קפוצינו עובדים La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,6.00,0.0000,true,1,350701
8722,true,קפוצינו גדול עובדים,לה פרינה,IL,קפוצינו גדול עובדים La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,7.00,0.0000,true,1,350704
8723,true,אספרסו La Farina,לה פרינה,IL,אספרסו La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,8.00,0.0000,true,1,350705
8724,true,תה La Farina,לה פרינה,IL,תה La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,8.00,0.0000,true,1,350706
8727,true,קפוצינו La Farina,לה פרינה,IL,קפוצינו La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,10.00,0.0000,true,1,350709
8728,true,אמריקנו חם/ קר בתוספ,לה פרינה,IL,אמריקנו חם/ קר בתוספת חלב La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,10.00,0.0000,true,1,350710
8731,true,קפוצינו גדול La Fari,לה פרינה,IL,קפוצינו גדול La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,12.00,0.0000,true,1,350713
8732,true,שוקו La Farina,לה פרינה,IL,שוקו La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,12.00,0.0000,true,1,350714
8733,true,חלה ברלה La Farina,לה פרינה,IL,חלה ברלה La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,15.90,0.0000,true,1,350715
8738,true,אייס קפה La Farina,לה פרינה,IL,אייס קפה La Farina,לא מנהל יחידת מידה,0.00,לא מנהל יחידת מידה,false,1,15.00,0.0000,true,1,350720
8760,true,דונטס במגוון מילויים,לה פרינה,IL,דונטס במגוון מילויים La Farina,יחידה,1.00,יחידה,false,1,9.90,9.9000,true,1,352371
37530,true,כנפית עוף,קצביית פרימיום,IL,כנפית עוף,קילוגרמים,1.00,"ק""ג",true,,24.90,24.9000,true,1,425504
37622,true,פרגיות קצר,קצביית פרימיום,IL,פרגיות קצר,קילוגרמים,1.00,"ק""ג",true,,69.90,69.9000,true,1,425513
40264,true,עגבניית אשכולות,חקלאי,IL,עגבניית אשכולות,קילוגרמים,1.00,"ק""ג",true,,9.90,9.9000,true,1,430426
40349,true,עגבנייה,חקלאי,IL,עגבנייה,קילוגרמים,1.00,"ק""ג",true,,9.90,9.9000,true,1,430427
40356,true,עגבניה תמר,חקלאי,IL,עגבניה תמר,קילוגרמים,1.00,"ק""ג",true,,9.90,9.9000,true,1,430428
40363,true,מלפפון,חקלאי,IL,מלפפון,קילוגרמים,1.00,"ק""ג",true,,9.90,9.9000,true,1,430429
40387,true,סלק,חקלאי,IL,סלק,קילוגרמים,1.00,"ק""ג",true,,7.90,7.9000,true,1,430431
40394,true,ענב ירוק איכות מעולה,חקלאי,IL,ענב ירוק איכות מעולה,קילוגרמים,1.00,"ק""ג",true,,30.90,30.9000,true,1,430432
40417,true,כרוב לבן,חקלאי,IL,כרוב לבן,קילוגרמים,1.00,"ק""ג",true,,6.90,6.9000,true,1,430433
40424,true,כרובית ארוזה,חקלאי,IL,כרובית ארוזה,גרמים,550.00,100 גרם,false,1,14.90,0.0271,true,1,430434
40486,true,בצל לבן,חקלאי,IL,בצל לבן,קילוגרמים,1.00,"ק""ג",true,,5.90,5.9000,true,1,430438
