store_id,verification_num,store_type,store_name,address,city,zip_code
1,0,1,"1 ב""ש-בית אשל",בית אשל 1,באר שבע,
20,0,3,20 להבים,מרכז מסחרי להבים,להבים,
40,0,1,40 אופקים,יהדות דרום אפריקה 14,אופקים,87573
51,0,3,51 חיפה - נשר,דרך בר יהודה http 147,נשר,
56,0,3,56 אשדוד - אשדוד סנטר,האורגים http://ww 1,אשדוד,
58,0,3,"58 ב""ש - סניף הרכבת",האורגים http://ww 1,באר שבע,
59,0,1,59 יקנעם,התמר 1,יקנעם,
60,0,1,60 דימונה,מרכז פרץ סנטר,דימונה,
75,0,1,75 טבריה הדר,יהודה הלוי 113,טבריה,14246
76,0,1,76 צפת,לוחמי הגטאות 1,צפת,13401
77,0,3,77 קרית גת,דרך הדרום http:// 1,קרית גת,82021
96,0,1,96 אינטרנט אילת,,,
97,0,1,97 אינטרנט,,,
98,0,1,98 אילת,הספן 1,אילת,
